param_index,delta_frac,amplitude
0,-0.05,28.637140785398266
0,-0.02,13.638107584335394
0,0.02,30.96855440867683
0,0.05,22.640754248087337
1,-0.05,33.06182882129027
1,-0.02,20.248385415862874
1,0.02,18.582483129556845
1,0.05,22.418066270150884
2,-0.05,20.725040454400595
2,-0.02,16.913958153055436
2,0.02,21.022298301596827
2,0.05,29.45791951844149
3,-0.05,23.04125395567696
3,-0.02,11.884207054710647
3,0.02,28.48612734874032
3,0.05,13.746086208496
