q,amplitude
1.0,16.862564969249604
0.99,12.560245470518815
0.98,17.485772464197815
0.97,16.468574773593705
0.96,10.345687917234727
0.95,12.0730026216386
0.9400000000000001,11.298308010914473
0.93,9.04777849378676
0.92,9.904580858425458
0.91,16.097323096023274
0.9,10.036571020836277
0.89,5.802558079527497
0.88,5.6112737906401104
0.87,5.67358426333859
0.86,5.097822718581502
0.8500000000000001,10.453734162355303
0.8400000000000001,5.344729080759083
0.8300000000000001,4.589459834031806
0.8200000000000001,4.502505913153476
0.81,4.346837694015368
0.8,4.118818706540051
