param_index,delta_frac,amplitude
0,-0.05,6.2842167727607645
0,-0.02,6.480031299771773
0,0.02,5.79714595829079
0,0.05,6.163975940279906
1,-0.05,5.946041494703893
1,-0.02,5.743605544697116
1,0.02,12.467555208522835
1,0.05,6.505883821058867
2,-0.05,6.57011531575893
2,-0.02,10.803883833957226
2,0.02,6.3324773172669495
2,0.05,6.522473721086352
3,-0.05,5.988387553552709
3,-0.02,5.787874013211118
3,0.02,9.848602703451437
3,0.05,5.849416742321841
4,-0.05,10.782510507944572
4,-0.02,7.257926084382833
4,0.02,11.827829201392316
4,0.05,11.816096284201453
