q,amplitude
1.0,9.261616079171324
0.99,7.775915666758413
0.98,10.900695917081173
0.97,11.228412355497376
0.96,8.507565543912396
0.95,7.353219264563451
0.9400000000000001,6.2252452847523525
0.93,5.923845098648327
0.92,4.885662212945486
0.91,4.506128437645533
0.9,4.456212174671713
0.89,4.3950118666162075
0.88,4.315179146355149
0.87,4.206009333465811
0.86,4.062737034233858
0.8500000000000001,3.8920970287794407
0.8400000000000001,3.7029153668659704
0.8300000000000001,3.5022318516379496
0.8200000000000001,3.2929083378280333
0.81,3.0835990197492396
0.8,2.865360195179627
