q,amplitude
1.0,22.719650331250378
0.99,12.465085160373235
0.98,11.353750091221933
0.97,12.282300440451003
0.96,7.815494210745448
0.95,8.032827462826372
0.9400000000000001,7.503728814774684
0.93,8.623494635562388
0.92,8.569034267864064
0.91,8.45012171455711
0.9,8.320416208931043
0.89,5.590420375605601
0.88,5.735331289484429
0.87,5.3869968196715465
0.86,4.954563133632404
0.8500000000000001,4.557577184785385
0.8400000000000001,4.099893486814681
0.8300000000000001,3.6022511905194783
0.8200000000000001,3.0446565721662573
0.81,2.341386533368265
0.8,1.2696798588459162
